Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
369,Bo Naylor*,23,CLE,AL,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2H,naylobo01
370,Josh Naylor*,26,CLE,AL,57,224,202,23,57,12,0,8,48,4,1,16,35,.282,.330,.460,.791,120,93,6,1,0,5,4,3D/H9,naylojo01
371,Zach Neto,22,LAA,AL,52,190,166,22,42,10,0,5,20,5,0,11,36,.253,.337,.404,.740,104,67,4,11,0,2,0,*6/H,netoza01
372,Tyler Nevin,26,DET,AL,16,44,39,2,5,0,0,1,4,0,0,3,10,.128,.205,.205,.410,16,8,1,1,0,1,0,/5D7H39,nevinty01
373,Kevin Newman,29,CIN,NL,48,178,159,17,43,10,0,2,20,4,1,14,22,.270,.331,.371,.703,87,59,4,2,0,3,0,654/HD3,newmake01
374,Tomás Nido,29,NYM,NL,22,61,56,5,7,0,0,0,1,0,0,2,18,.125,.153,.125,.278,-21,7,2,0,2,1,0,2/H,nidoto01
375,Brandon Nimmo*,30,NYM,NL,64,290,248,36,70,10,4,5,26,3,1,33,64,.282,.374,.415,.789,121,103,1,5,1,3,0,*8/DH,nimmobr01
376,Ryan Noda*,27,OAK,AL,62,227,177,34,44,13,1,7,24,2,1,45,72,.249,.410,.452,.862,149,80,1,4,0,1,1,*3H/D9,nodary01
377,Austin Nola,33,SDP,NL,44,132,111,7,15,2,0,1,7,0,0,17,30,.135,.256,.180,.436,27,20,2,1,3,0,0,*2/H,nolaau01
378,Lars Nootbaar*,25,STL,NL,42,184,154,25,41,7,0,4,21,5,1,29,38,.266,.380,.390,.770,114,60,1,0,0,1,2,89/7H,nootbla01
379,Ryan O'Hearn*,29,BAL,AL,24,71,64,10,21,6,0,4,17,0,0,6,17,.328,.380,.609,.990,172,39,0,0,0,1,0,/3DH97,ohearry01
380,Logan O'Hoppe,23,LAA,AL,16,59,53,5,15,2,0,4,13,0,0,4,15,.283,.339,.547,.886,140,29,2,1,0,1,0,2,ohopplo01
381,Tyler O'Neill,28,STL,NL,29,99,92,12,21,4,0,2,6,1,0,7,34,.228,.283,.337,.620,71,31,2,0,0,0,0,78/H,oneilty01
382,Rougned Odor*,29,SDP,NL,36,108,96,16,21,7,0,4,17,2,1,11,21,.219,.306,.417,.722,102,40,1,1,0,0,0,4/9H5D,odorro01
383,Shohei Ohtani*,28,LAA,AL,65,289,254,40,73,12,3,18,46,9,3,28,64,.287,.359,.571,.930,152,145,6,1,0,1,2,*D1,ohtansh01
384,Chris Okey,28,LAA,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,okeych01
385,Edward Olivares,27,KCR,AL,49,178,162,25,40,9,4,5,12,5,2,11,30,.247,.315,.444,.759,108,72,3,5,0,0,1,7/DH89,olivaed02
